name,x_img,y_img,z_world,x_world,y_world,lstsq_IO
p17,-891,390,1376.18005,419712.831961218,6719545.96644074,1
p100,-546,440,1439.59998,420066.023889761,6719479.27308606,1
p16,-616,395,1349.29004,419824.781520866,6719272.04730543,1
p13,-580,196,1212.62,419409.883352331,6718718.99861648,1
p12,-697,48,1207.92004,419192.385604132,6718450.47598587,0
p11,-53,14,1207.92004,419197.744891562,6718443.88852841,0
p9,-131,188,1211.02002,419344.343733135,6718534.21485197,0
p14,-186,245,1227.31995,419597.905019665,6718720.33843834,1
p8,131,172,1210.94995,419327.595959917,6718487.76769424,0
p7,404,152,1208.79004,419328.712478132,6718469.45679552,0
p21,333,126,1207.68005,419297.859358135,6718454.75597237,0
p26,368,362,1360.18994,420451.892584716,6718723.61355844,1
p25,359,360,1342.06006,420306.298609536,6718697.71033586,1
p2,656,186,1210.5,419762.574636614,6718440.41570306,1
p1,848,145,1205.08997,419655.462474201,6718367.85585111,1
p3,846,160,1206.71997,419728.575163125,6718360.66897053,1
p20,791,-147,1208.67004,419194.916378752,6718423.04685507,0
p28,-167,430,1419.29004,420305.405394965,6719188.97835027,1
